,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,SMA,Signal
2359,2024-04-16,40.42576577459006,180.18161263580927,196.04985258804345,40.42576577459006,40.42576577459006,3.6505241466506084,3.6505241466506084,3.6505241466506084,3.9166462679155303,3.9166462679155303,3.9166462679155303,-0.2661221212649215,-0.2661221212649215,-0.2661221212649215,0.0,0.0,0.0,188.00099988157282,187.79962816549602,1
2360,2024-04-17,40.44627994000475,180.7151466195568,195.77357428336032,40.44627994000475,40.44627994000475,3.6510317765948317,3.6510317765948317,3.6510317765948317,3.9172374749587653,3.9172374749587653,3.9172374749587653,-0.2662056983639336,-0.2662056983639336,-0.2662056983639336,0.0,0.0,0.0,188.1169332460122,187.8430626379475,1
2361,2024-04-18,40.46679410541943,180.1221348639266,195.8459846698392,40.46679410541943,40.46679410541943,3.6481077190875806,3.6481077190875806,3.6481077190875806,3.9138600000052564,3.9138600000052564,3.9138600000052564,-0.26575228091767555,-0.26575228091767555,-0.26575228091767555,0.0,0.0,0.0,188.09401804812785,187.89050624341084,1
2362,2024-04-19,40.48730827083412,179.62250928828743,196.1873612272916,40.48730827083412,40.48730827083412,3.649448022447218,3.649448022447218,3.649448022447218,3.91420858200848,3.91420858200848,3.91420858200848,-0.26476055956126204,-0.26476055956126204,-0.26476055956126204,0.0,0.0,0.0,188.2436353740406,187.94667362821525,1
2363,2024-04-22,40.54885076707817,181.1834386615692,197.04990987616262,40.54885076707817,40.54885076707817,3.659869049615088,3.659869049615088,3.659869049615088,3.9186408054460955,3.9186408054460955,3.9186408054460955,-0.2587717558310075,-0.2587717558310075,-0.2587717558310075,0.0,0.0,0.0,188.95233468696858,188.05142468637547,1
2364,2024-04-23,40.56936493249286,181.5627741092874,196.3848352260862,40.56936493249286,40.56936493249286,3.6607359115221265,3.6607359115221265,3.6607359115221265,3.9166462679171334,3.9166462679171334,3.9166462679171334,-0.2559103563950069,-0.2559103563950069,-0.2559103563950069,0.0,0.0,0.0,189.0830960485159,188.17756745341288,1
2365,2024-04-24,40.58987909790755,182.33322918799092,197.58776211598726,40.58987909790755,40.58987909790755,3.6645238217450924,3.6645238217450924,3.6645238217450924,3.917237474958763,3.917237474958763,3.917237474958763,-0.25271365321367023,-0.25271365321367023,-0.25271365321367023,0.0,0.0,0.0,189.33245797394295,188.32664039573365,1
2366,2024-04-25,40.61039326332223,181.72060514563833,197.40167800715886,40.61039326332223,40.61039326332223,3.664607891059978,3.664607891059978,3.664607891059978,3.913859999989083,3.913859999989083,3.913859999989083,-0.24925210892910524,-0.24925210892910524,-0.24925210892910524,0.0,0.0,0.0,189.43156087514186,188.49925848050057,1
2367,2024-04-26,40.63090742873692,182.09718762128261,197.35358597862685,40.63090742873692,40.63090742873692,3.6686076281953923,3.6686076281953923,3.6686076281953923,3.9142085820088006,3.9142085820088006,3.9142085820088006,-0.24560095381340843,-0.24560095381340843,-0.24560095381340843,0.0,0.0,0.0,189.68976436230201,188.6955349036254,1
2368,2024-04-29,40.69244992498097,182.80323452896457,198.45637855613973,40.69244992498097,40.69244992498097,3.6843594968470987,3.6843594968470987,3.6843594968470987,3.9186408054251665,3.9186408054251665,3.9186408054251665,-0.23428130857806778,-0.23428130857806778,-0.23428130857806778,0.0,0.0,0.0,190.61806425605963,188.95628647526843,1
